alarm_id,device_id,start_timestamp,end_timestamp
7,15,40,212
6,8,59,107
7,8,60,71
9,8,67,73
2,26,117,132
9,26,120,124
15,10,168,232
13,10,189,211
10,10,190,190
13,0,271,369
10,0,307,400
4,22,414,420
0,22,416,430
1,18,501,535
0,18,525,546
14,21,548,582
0,21,568,588
14,12,674,703
12,12,674,704
16,12,680,689
15,12,687,709
7,12,696,732
8,12,700,704
7,12,703,711
9,25,708,727
10,25,716,834
4,15,849,864
7,14,912,958
3,0,978,1020
10,0,981,1002
7,0,988,1042
16,1,1000,1003
10,0,1009,1038
9,0,1014,1038
11,5,1090,1110
3,14,1098,1123
13,5,1099,1107
1,20,1180,1209
11,24,1275,1280
9,24,1280,1343
12,25,1281,1316
10,24,1286,1315
7,24,1305,1314
3,6,1514,1524
8,6,1518,1576
8,5,1548,1555
6,7,1548,1574
9,7,1553,1569
10,7,1566,1590
7,7,1566,1643
15,7,1572,1609
13,7,1609,1610
12,11,1719,1790
0,0,1750,1761
8,25,1780,1800
14,11,1782,1794
7,25,1783,1806
11,14,1842,1869
9,14,1853,1865
8,14,1860,1980
7,14,1866,1874
9,14,1868,1916
7,14,1880,1903
7,14,1948,1953
7,0,1957,1984
9,9,2098,2126
7,9,2121,2162
8,9,2124,2127
12,24,2134,2145
16,24,2139,2257
10,24,2145,2168
15,23,2150,2191
8,24,2170,2294
7,24,2177,2179
0,24,2185,2186
10,24,2190,2252
7,24,2191,2237
12,15,2208,2271
13,11,2208,2225
10,11,2219,2268
0,24,2224,2270
7,11,2235,2248
8,15,2237,2243
7,24,2259,2309
3,0,2337,2356
13,0,2340,2349
10,0,2350,2405
3,15,2356,2357
1,5,2452,2469
16,1,2457,2502
4,21,2481,2491
15,20,2487,2578
15,1,2491,2567
10,1,2495,2543
0,1,2497,2536
2,1,2498,2551
11,3,2515,2588
9,1,2517,2559
10,17,2532,2542
10,1,2532,2546
13,3,2536,2579
9,3,2547,2572
7,1,2555,2557
7,1,2557,2643
10,20,2563,2605
10,1,2564,2641
7,3,2565,2600
9,5,2592,2609
10,5,2594,2614
4,0,2632,2696
0,0,2641,2644
9,0,2648,2662
7,0,2654,2663
0,0,2659,2666
8,0,2663,2669
7,0,2667,2692
9,0,2670,2691
9,15,2679,2682
7,15,2680,2702
13,0,2707,2715
13,2,2726,2733
1,13,2744,2833
12,22,2770,2775
16,9,2772,2781
10,4,2882,2902
0,10,2926,2927
4,16,2975,2984
0,16,2978,3013
5,14,3119,3122
11,24,3224,3256
6,20,3252,3256
13,24,3252,3273
12,9,3268,3325
14,9,3281,3294
6,15,3289,3308
9,15,3292,3293
0,15,3297,3346
14,9,3316,3319
1,25,3341,3373
10,24,3421,3436
7,13,3478,3489
16,25,3481,3691
1,19,3503,3508
10,25,3582,3648
7,25,3597,3642
2,25,3602,3652
8,6,3612,3707
12,9,3613,3680
0,25,3613,3646
8,9,3626,3642
15,9,3627,3669
13,9,3643,3648
7,6,3647,3666
10,9,3649,3694
14,9,3664,3667
2,25,3666,3765
16,0,3676,3700
0,25,3680,3727
5,25,3690,3705
13,25,3704,3721
5,25,3709,3757
13,25,3716,3720
10,25,3717,3720
0,25,3719,3735
8,25,3739,3755
10,25,3742,3806
7,25,3744,3771
13,25,3745,3754
10,25,3746,3768
13,25,3754,3784
5,25,3757,3765
11,25,3757,3760
0,25,3758,3763
4,25,3758,3841
0,25,3761,3812
8,25,3771,3856
7,25,3787,3789
9,25,3798,3905
10,25,3803,3815
7,25,3804,3844
7,25,3805,3827
8,25,3823,3839
7,25,3854,3856
10,25,3900,3903
8,25,3903,3924
1,19,3919,3964
10,25,4089,4111
4,0,4199,4224
9,0,4201,4241
7,0,4207,4218
8,0,4214,4227
9,26,4221,4230
4,19,4227,4241
9,19,4232,4236
8,19,4234,4252
11,19,4464,4474
15,10,4650,4664
11,10,4674,4713
13,10,4685,4713
0,10,4688,4702
9,10,4695,4709
10,10,4697,4750
11,10,4718,4736
13,10,4720,4759
10,10,4727,4767
4,10,4729,4753
6,6,4734,4756
0,10,4735,4807
7,6,4737,4759
10,25,4745,4748
0,22,4814,4894
1,10,4963,4977
12,6,4965,4988
14,6,4971,5003
0,10,4975,5011
7,6,5002,5070
7,22,5111,5112
10,25,5163,5195
12,7,5190,5204
16,18,5207,5220
10,10,5244,5321
10,16,5275,5283
1,20,5290,5311
11,26,5321,5433
14,26,5329,5333
0,26,5329,5336
1,22,5355,5378
4,26,5380,5399
14,26,5421,5425
7,23,5436,5527
2,1,5494,5596
9,6,5495,5503
0,1,5509,5569
5,1,5538,5624
12,10,5555,5570
16,10,5556,5561
3,1,5565,5615
14,10,5566,5568
8,1,5574,5615
10,1,5579,5583
1,1,5585,5633
7,1,5597,5654
13,1,5598,5599
8,1,5601,5637
9,1,5607,5668
13,1,5609,5690
10,1,5616,5619
0,1,5643,5739
10,1,5647,5651
12,10,5664,5668
1,0,5679,5749
14,15,5680,5693
1,21,5744,5781
5,2,5846,5864
7,2,5853,5866
11,2,5856,5945
8,2,5858,5887
11,26,5862,5888
0,2,5868,5928
4,26,5872,5889
13,2,5891,5926
6,12,5971,6000
7,12,5979,6010
0,12,5992,6002
3,10,6085,6090
7,10,6087,6097
6,20,6168,6193
2,14,6252,6298
0,14,6262,6277
9,14,6272,6275
1,14,6292,6356
5,14,6292,6303
8,14,6293,6307
7,14,6294,6307
7,14,6302,6312
2,23,6317,6331
12,22,6460,6500
14,9,6498,6520
1,14,6498,6514
11,9,6498,6564
13,9,6500,6524
14,22,6500,6503
15,18,6512,6523
14,9,6524,6566
9,9,6526,6529
9,9,6529,6531
4,9,6538,6539
4,9,6540,6541
13,9,6545,6546
9,9,6546,6595
0,9,6551,6599
4,23,6566,6580
8,9,6569,6590
7,9,6579,6592
11,26,6625,6634
0,9,6807,6808
14,12,6875,6895
7,12,6878,6908
0,12,6892,6957
16,5,6911,6942
10,5,6916,6921
4,16,6920,6939
14,4,7049,7064
2,19,7060,7119
5,19,7091,7110
5,19,7117,7127
13,19,7123,7149
7,19,7126,7146
0,19,7136,7148
10,19,7143,7172
4,20,7168,7206
16,3,7248,7273
14,23,7270,7312
0,11,7278,7296
0,23,7289,7290
0,23,7291,7360
7,24,7325,7334
3,1,7383,7387
6,19,7385,7401
0,19,7397,7414
13,22,7480,7488
8,11,7587,7588
12,10,7739,7769
4,5,7744,7826
0,5,7755,7756
11,24,7763,7821
9,5,7769,7779
8,5,7772,7781
10,5,7773,7781
13,24,7773,7786
0,24,7774,7782
7,5,7775,7794
0,5,7779,7783
7,5,7781,7807
13,24,7786,7803
9,24,7788,7809
7,24,7801,7804
10,24,7802,7817
4,24,7808,7845
13,24,7816,7846
9,24,7821,7845
0,24,7838,7855
10,24,7844,7856
12,17,7866,7881
9,19,7875,7925
10,19,7917,7919
16,25,7929,7941
8,1,7940,7941
6,6,7997,8040
10,6,8004,8024
7,6,8024,8051
7,6,8030,8071
7,7,8040,8067
0,20,8227,8232
11,24,8362,8403
13,24,8366,8407
0,24,8384,8531
6,3,8468,8502
15,3,8470,8482
0,3,8475,8497
8,2,8477,8492
7,24,8507,8511
9,18,8569,8641
10,18,8573,8577
7,18,8579,8586
2,8,8598,8647
7,18,8619,8640
9,8,8626,8657
10,18,8626,8650
7,8,8627,8643
8,8,8633,8669
9,0,8724,8753
7,0,8739,8767
11,18,8755,8767
4,0,8835,8871
0,3,8841,8870
2,12,8860,8874
5,12,8866,8869
1,15,8868,8913
0,0,8870,8878
15,18,8951,8959
16,5,8989,8993
2,5,8990,9050
16,1,8996,9011
3,5,9000,9035
7,5,9014,9021
0,5,9014,9062
3,5,9045,9097
9,5,9055,9085
10,5,9083,9089
11,2,9140,9218
14,2,9140,9165
0,2,9162,9206
9,2,9166,9180
7,2,9167,9170
4,2,9171,9172
8,2,9176,9225
13,2,9176,9246
0,2,9195,9242
9,2,9202,9218
14,2,9218,9227
7,2,9224,9260
8,14,9270,9285
4,2,9328,9395
9,2,9343,9345
12,2,9343,9348
8,14,9368,9381
12,1,9378,9392
14,1,9390,9403
0,2,9392,9394
7,1,9397,9617
16,26,9407,9410
4,7,9623,9627
10,0,9736,9796
7,0,9739,9785
14,11,9743,9811
7,10,9788,9799
0,11,9793,9821
7,11,9807,9831
12,10,9813,9914
14,10,9819,9959
1,1,9854,9869
9,19,9856,9868
0,1,9857,9924
7,19,9861,9870
15,4,9870,9881
16,10,9876,9878
8,14,10011,10019
5,21,10022,10030
8,5,10061,10078
6,13,10146,10187
7,13,10157,10184
12,9,10242,10273
15,9,10270,10401
10,9,10299,10301
0,10,10364,10444
9,19,10442,10522
7,19,10472,10482
16,23,10565,10591
8,23,10584,10636
7,23,10584,10637
7,3,10614,10636
16,13,10668,10682
0,13,10682,10683
9,10,10702,10755
8,10,10754,10832
0,15,10779,10787
9,5,10852,10857
14,13,10909,10937
4,20,10911,10912
5,3,10943,10951
2,21,11008,11050
9,21,11009,11039
0,21,11019,11038
3,21,11021,11099
13,21,11036,11087
9,21,11042,11103
10,21,11043,11052
7,21,11054,11055
8,21,11060,11083
7,21,11067,11135
7,21,11069,11082
10,21,11074,11082
0,21,11077,11112
14,21,11078,11112
0,15,11093,11126
8,21,11096,11106
13,21,11098,11119
13,6,11169,11214
0,6,11181,11191
10,6,11183,11278
3,23,11248,11269
9,23,11266,11279
11,5,11281,11293
0,14,11304,11321
1,6,11316,11345
8,14,11375,11385
0,12,11585,11585
6,2,11588,11601
15,2,11598,11615
12,12,11620,11633
15,12,11632,11632
12,25,11871,11876
14,22,11955,11988
13,23,11958,11958
2,4,12007,12017
7,21,12010,12183
9,4,12014,12077
7,4,12034,12077
10,11,12112,12134
1,1,12123,12129
14,8,12141,12260
15,18,12176,12180
12,2,12180,12187
0,8,12211,12230
2,8,12213,12226
8,18,12228,12251
13,23,12230,12297
10,23,12242,12254
0,8,12252,12292
2,7,12266,12275
5,12,12268,12272
7,12,12270,12272
0,7,12274,12302
10,23,12275,12280
10,23,12287,12316
8,14,12297,12326
7,14,12307,12315
2,20,12509,12511
2,11,12718,12804
0,11,12723,12739
5,11,12740,12780
12,3,12745,12764
9,11,12748,12757
0,11,12748,12813
15,11,12769,12788
1,11,12777,12836
5,6,12824,12849
0,11,12836,12879
16,10,12861,12915
10,10,12874,12877
15,16,12874,12925
16,6,12875,12887
13,16,12890,12901
4,24,12891,12893
11,8,12908,12933
8,19,12931,12938
0,25,12935,12937
12,17,12949,12971
14,17,12971,13005
0,17,12981,12982
8,11,13001,13026
7,11,13018,13039
0,6,13042,13077
1,23,13147,13172
16,20,13301,13328
10,20,13310,13328
1,8,13419,13463
0,8,13445,13468
14,26,13514,13541
9,9,13559,13563
15,3,13600,13620
0,21,13617,13634
9,6,13696,13707
8,6,13700,13714
0,11,13873,13882
11,8,13915,13921
4,12,14034,14057
9,12,14053,14074
8,12,14056,14067
7,12,14061,14104
13,8,14069,14164
10,8,14080,14181
0,8,14093,14115
0,16,14096,14129
9,1,14123,14134
7,1,14128,14151
8,1,14133,14206
7,1,14140,14147
0,8,14141,14146
9,7,14180,14180
3,18,14201,14297
10,18,14208,14209
7,18,14211,14242
10,18,14258,14311
9,18,14258,14267
7,18,14265,14290
7,18,14267,14269
8,18,14274,14289
9,18,14285,14348
10,18,14295,14326
9,10,14300,14301
7,18,14307,14322
8,18,14325,14347
7,18,14340,14345
15,26,14341,14345
6,6,14360,14363
0,8,14388,14406
4,2,14398,14401
7,8,14411,14414
16,10,14428,14504
16,0,14448,14502
2,10,14460,14523
5,10,14463,14502
11,10,14470,14493
3,10,14475,14479
10,10,14477,14485
10,0,14480,14481
9,10,14482,14482
8,10,14482,14537
7,10,14484,14540
7,4,14491,14504
3,26,14632,14653
8,26,14646,14648
7,0,14688,14804
14,20,14691,14707
16,14,14728,14759
0,14,14739,14771
2,11,14839,14880
0,11,14841,14889
16,15,14856,14890
0,15,14873,14878
16,22,15015,15095
8,22,15040,15056
5,5,15042,15052
9,17,15150,15173
8,17,15160,15228
8,3,15162,15170
7,17,15174,15275
7,0,15274,15291
3,20,15315,15325
1,17,15316,15351
0,17,15338,15377
3,9,15346,15409
9,9,15347,15405
11,19,15359,15374
7,9,15361,15364
10,9,15364,15393
8,9,15369,15373
7,9,15380,15387
7,9,15388,15398
13,8,15393,15402
11,6,15470,15523
9,6,15479,15489
5,15,15483,15499
1,15,15490,15498
0,15,15493,15495
13,6,15496,15508
9,19,15538,15538
2,16,15554,15637
1,10,15592,15604
5,22,15744,15926
13,22,15747,15753
10,22,15766,15769
4,18,15795,15796
13,22,15809,15871
13,6,15837,15921
10,6,15839,15841
10,22,15858,15859
10,6,15861,15898
7,22,15864,15889
7,6,15872,15886
1,22,15879,16016
8,22,15885,15931
0,6,15887,15892
10,22,15897,16002
10,6,15905,15980
0,22,15912,15929
0,20,15916,15932
9,16,15929,15936
7,6,15930,15979
6,9,15935,16020
7,9,15949,15986
10,9,15959,15995
0,9,15969,15982
9,9,15976,16029
8,9,15978,16011
7,9,15987,16008
15,9,16006,16017
10,9,16009,16018
0,22,16010,16070
7,9,16020,16029
15,9,16020,16091
7,9,16024,16027
13,9,16027,16031
10,9,16066,16073
10,9,16087,16200
0,24,16100,16106
16,25,16112,16114
2,25,16114,16120
0,25,16116,16146
7,13,16120,16203
7,9,16180,16188
4,3,16336,16371
16,8,16351,16373
0,8,16355,16373
12,24,16356,16357
16,24,16357,16363
4,5,16411,16423
13,13,16454,16491
0,13,16455,16460
12,10,16489,16539
14,10,16493,16493
16,10,16511,16512
10,4,16519,16580
8,10,16523,16540
16,10,16524,16532
2,10,16526,16577
0,10,16541,16591
5,10,16550,16588
7,10,16581,16612
11,10,16585,16621
4,10,16594,16606
13,10,16599,16704
10,10,16603,16607
4,10,16606,16612
9,10,16607,16622
10,18,16609,16644
8,2,16612,16761
16,10,16614,16626
8,10,16616,16625
0,10,16621,16636
10,10,16625,16628
7,2,16630,16645
6,3,16632,16635
0,10,16659,16664
13,17,16661,16712
15,3,16666,16666
7,2,16711,16772
7,3,16748,16811
8,9,16774,16788
16,3,16796,16835
0,17,16802,16825
2,3,16816,16855
10,3,16820,16860
6,2,16824,16888
0,3,16824,16848
6,12,16826,16900
9,3,16826,16892
10,12,16827,16847
15,12,16830,16840
7,3,16832,16868
9,2,16836,16901
16,12,16843,16853
10,2,16847,16896
9,12,16847,16969
3,3,16849,16872
10,3,16854,16891
8,12,16855,16863
9,3,16855,16874
7,2,16872,16875
10,12,16872,16889
0,2,16874,16874
10,12,16877,16878
10,12,16880,16918
15,12,16886,16888
10,12,16887,16896
8,2,16887,16915
7,2,16903,16907
7,12,16905,16913
8,12,16924,16934
7,12,16948,16995
10,12,16957,17006
5,4,16980,16986
10,4,16983,17013
6,23,17043,17049
16,23,17046,17069
4,1,17123,17137
9,1,17130,17157
10,1,17133,17150
7,1,17135,17151
8,1,17141,17161
16,20,17218,17222
