fare_up_limit,fare_low_limit
5.364977348546497,-7.720307286057885
5.217836845535107,-7.584303295917248
4.541535260697557,-6.370631216862542
5.3236919738732915,-7.3731628431953435
3.6692696632459643,-6.727831630756395
4.898511590736516,-7.002772130642388
4.990099063570147,-7.224359518772769
6.7393348731456175,-8.091185902822819
6.513155919699027,-8.269803397011938
4.476014863871947,-6.853993282712803
5.019289862937671,-7.046270546418599
5.165846138921716,-6.636413543054518
4.197707323261946,-6.550663385287835
4.043327357356624,-6.730345822059297
6.2566862179963465,-9.446980889794576
5.5382382190678,-7.500770111728412
5.149001422739066,-6.738019279479134
5.697914917349391,-7.8652233640819
5.742793165500764,-7.420994319310376
4.760155405533875,-7.382502269640444
4.1211270893390815,-5.94623743980557
5.1588244488083514,-7.490968320380516
4.998116233067828,-6.949015415531549
6.158865168776191,-8.254088691326682
3.7700678183220346,-6.717880870764315
5.256493498179309,-7.215372190077651
3.567151985779841,-6.27832073669623
5.570929695486567,-7.759200838141261
4.575397626767946,-6.611224847514025
4.509884653310797,-7.609837705586783
5.176471902760503,-7.912777428570575
5.332996107670732,-6.983155059095836
5.050739568731086,-6.948945380722376
5.817467535001911,-8.496537032907984
5.2501264599964514,-8.249639717141347
5.344337720929419,-7.406791960963229
5.551240798743466,-7.649921946750726
4.708788011410539,-6.70659786061274
5.358514121727975,-7.281122498360158
5.10495220187904,-7.6503675615891495
4.1590624057377115,-6.6802306833846
4.998568387735972,-7.074585406655579
5.655275027026893,-7.546120781756863
5.664999991270283,-8.353235957230876
4.759775044283391,-8.270204430400799
4.295346587664913,-6.883044635383737
5.260362273762901,-7.985870899595552
4.564058866725952,-6.366846642146751
5.489788670868142,-7.168938611505773
4.517026954612802,-7.04162112465388
4.358159737850806,-6.787165176614737
4.733299545278672,-6.552949963713353
5.78597635851344,-7.97539620995485
6.189022376467018,-7.9277430566997795
5.373599449415617,-8.377821244688834
5.466995594002618,-7.124149515893057
5.263523247983852,-7.486465253730753
6.715251816448666,-8.867802601028055
5.10195664872602,-7.012007074464187
4.0388483086744165,-7.054040023063612
4.553637180671923,-7.459310213828076
6.004191951026846,-8.003876496171086
5.246376019110604,-7.011753637187879
6.112260524390923,-8.086801614974094
4.399471985635898,-7.37127003312698
5.017547764882076,-6.869178142864655
5.647567683193934,-7.714631041339793
5.309883408049737,-7.981878839704702
5.286178962732014,-6.959530568576318
4.4552939544207435,-6.683888448616841
5.176798372829875,-7.757096596426303
4.8060349931011555,-6.696099665531401
4.5288447503319755,-6.753113061937363
5.322272865369484,-7.188323264823613
5.078619561838849,-7.749974322165878
5.8442063740039165,-7.910715980703406
3.88634591048006,-6.562645802441999
6.451006722684101,-8.800675217137162
5.336231034047909,-6.862645945186977
4.031950337829857,-6.591159756798911
4.499665058967403,-6.851683765564591
4.834527641398256,-6.732678813422895
6.176775007195864,-8.007957134870797
4.933055308922618,-7.88465787716816
4.470707730134267,-7.70492403274587
5.0166052981605,-7.0430896024871705
5.895129373690673,-8.635402185190923
4.576708435783456,-6.645154298747412
6.09718904673568,-7.4096697702111705
5.110721463981986,-8.224802539463466
4.992949280615665,-7.72570565074725
3.904390578294949,-6.12504072206592
4.653490522274881,-7.151598285284245
5.060904639669769,-7.291586935626084
5.653008326079605,-8.45354856224744
4.0386551128952775,-6.605330572652548
5.179598415834552,-7.4590288535612554
5.321865289898464,-7.249501748600127
5.474699655936228,-7.2199685015692046
3.3091015233062073,-5.975119366215111
5.198310391569273,-7.057065094480439
5.766753357302597,-7.74202725898842
4.73241903525232,-6.67903807807527
4.89545991096775,-7.058200068454283
5.514852520898823,-8.085436378479088
4.441306230152451,-6.734960839933782
5.967772601714099,-8.366678706599323
5.642085507365116,-7.40271453449083
5.019472913061833,-6.605345367294657
4.878525055002905,-7.437776665360493
4.5497727715423615,-6.9811386775832025
5.104997156115423,-6.886934662541308
4.3361816225574685,-6.708926233910525
5.07071249210783,-6.896485713112636
4.915792631053663,-7.755312367856049
5.090131261313634,-7.397272072430138
6.215392191615195,-8.531693037894955
6.33629834215791,-8.331484635935825
5.62085746558071,-7.094728629225067
3.1706726890610746,-6.012323268555111
4.128061982944491,-6.514288228310166
5.811861356681001,-7.311924329443666
3.543186979670895,-5.495896401347566
5.148675672951661,-6.561863476631203
4.318759957342892,-7.40462825451873
5.8658097716507545,-7.785047121491784
5.683416244141565,-8.387516118836942
5.499946425704079,-7.57996724260349
5.447542793409937,-7.0655213157659595
4.173876703391135,-6.557088740734467
5.563616459971415,-8.044970220020407
5.096064418718547,-7.40154779841218
4.818134622547614,-6.8148652823004685
4.683921180001066,-7.505566951976044
5.683601299656967,-7.964890839983206
4.42715775192028,-6.871546160427327
5.711406411207069,-8.163945391786804
5.196503728837503,-7.159226440748641
3.8806835854937822,-5.706997395296858
3.9139733450152008,-6.899407531711165
4.328089503927647,-6.531439118928324
4.740684739532157,-7.1805010656596
4.450371822145349,-6.514232264184113
5.95402978912368,-8.047384539706183
4.0296961464402585,-6.767896030448644
4.968315533982966,-7.157500501689863
