ce_1,ce_2
0.004534806691686821,-0.0892496067326255
-0.04746397464004892,-0.08402438195682138
-0.010783802612414739,-0.09044179732683988
-0.033143790132908524,-0.08645230294923345
-0.034392895148996065,-0.10257486988467443
-0.028759199778334077,-0.08174000132983406
-0.03821224747491492,-0.09707348469775456
-0.0584925849187623,-0.12105470241111715
-0.03332990547692283,-0.10358539243588144
-0.03495360080995802,-0.07044552544765947
-0.04731915480435453,-0.1069825903746392
-0.033946542223628556,-0.08728602087241827
-0.08974565341589069,-0.08915818329498548
-0.04161693388656623,-0.10386249342178477
-0.012637332912100785,-0.09814052795860939
-0.030792510690269004,-0.0986495418722706
-0.06641186165557111,-0.08998251330594842
0.04139418660873423,-0.09942434802639832
-0.004029375857655948,-0.0729723830492281
-0.03225816864660861,-0.10580427339511912
-0.04982031718707067,-0.10166270512295109
-0.031207853659599716,-0.1001301702994139
-0.05304636066103152,-0.08555282020131982
-0.021433621428318617,-0.08173655194689533
-0.03455212881094083,-0.08436146251507881
-0.07215818732866996,-0.04861639017968178
-0.009706347582445596,-0.053017862817125505
-0.0605742183726532,-0.10186520108105554
-0.031587735178646464,-0.10100422695204883
-0.021305330630400965,-0.014239636359015817
-0.03820507160449893,-0.08044655736993311
-0.048600859698390675,-0.09281435336010713
-0.0338368641689797,-0.09348567368165311
-0.028661638767259884,-0.09334115103786278
-0.01565358228178959,-0.10520947309463646
-0.03581038916608836,-0.0670087785460689
-0.0030961083514318144,-0.09192775968191003
-0.03064887108458092,-0.09324923102114824
-0.030148517555321108,-0.11491762177637527
-0.042402801759858166,-0.09287830394291405
-0.016992149049838923,-0.02796355768792025
-0.03009790290673342,-0.08624480316117489
0.015151713168258363,-0.07524154966822355
-0.031240278138793598,-0.09456294631618489
-0.00977652529707429,-0.060380204569180806
-0.04463343790971175,-0.08744593608942697
-0.022807697850145137,-0.08883568342412496
-0.04092771756536617,-0.12052957447813983
-0.02002480936630824,-0.1014792689282556
-0.09519981097105945,-0.08373005468473949
-0.05630347162318028,-0.0888487263468446
-0.031871037375285294,-0.07359638862141438
-0.03627259000936567,-0.09504555340921361
-0.020787288950713023,-0.08789587071102956
-0.01655652548131714,-0.02721937374638017
-0.02659904629705867,-0.08775205619768778
-0.04113741899880169,-0.09348235836939539
-0.031953639611700224,-0.10357391800491772
-0.03659755418930277,-0.0885993161310652
