,0,1
0,0.2841796875,0.185546875
1,0.015625,0.0224609375
2,0.0732421875,-0.0908203125
3,0.2138671875,0.0458984375
4,0.20703125,0.189453125
5,0.07421875,0.197265625
6,0.111328125,0.2197265625
7,0.0244140625,-0.03125
8,0.044921875,-0.00390625
9,0.1259765625,-0.01171875
10,0.2314453125,0.0791015625
11,-0.0146484375,0.0341796875
12,0.1162109375,0.1728515625
13,0.0478515625,0.046875
14,0.111328125,0.1884765625
15,0.0166015625,-0.0419921875
16,0.162109375,0.1005859375
17,0.2158203125,-0.1298828125
18,0.1474609375,0.052734375
19,0.10546875,0.0185546875
20,0.1611328125,-0.033203125
21,0.044921875,-0.0244140625
22,0.009765625,0.0888671875
23,0.2255859375,-0.0478515625
24,-0.0009765625,-0.05859375
25,0.1640625,0.2177734375
26,0.119140625,0.1171875
27,0.234375,0.125
28,-0.0771484375,0.083984375
29,0.060546875,0.05078125
30,0.2451171875,-0.0087890625
31,0.150390625,0.12109375
32,0.111328125,0.0947265625
33,0.1630859375,0.0576171875
34,0.189453125,0.0810546875
35,0.0,-0.0078125
36,0.2109375,0.2060546875
37,-0.013671875,-0.0224609375
38,0.0185546875,0.0703125
39,0.095703125,0.1142578125
40,0.1318359375,-0.0009765625
41,0.044921875,0.0771484375
42,0.1162109375,0.0546875
43,0.130859375,0.12109375
44,0.1474609375,0.064453125
45,0.1982421875,0.23828125
46,0.1630859375,-0.046875
47,0.119140625,-0.1767578125
48,0.1982421875,0.220703125
49,0.248046875,0.23046875
50,0.2421875,0.1025390625
51,0.0361328125,0.0888671875
52,0.1943359375,-0.03125
53,0.09765625,-0.0986328125
54,0.2392578125,0.12890625
55,0.0615234375,-0.1337890625
56,0.03125,-0.0849609375
57,0.2451171875,0.1123046875
58,0.1865234375,0.12109375
59,-0.025390625,0.0537109375
60,0.0625,0.0166015625
61,0.2939453125,0.1181640625
62,0.1875,0.1181640625
63,0.2314453125,0.1376953125
64,0.04296875,0.001953125
65,0.0888671875,0.0732421875
66,0.201171875,0.1484375
67,0.009765625,-0.0703125
68,0.18359375,0.0078125
69,0.1728515625,0.1767578125
70,0.056640625,0.2109375
71,0.060546875,0.0068359375
72,0.146484375,0.134765625
73,0.06640625,0.1064453125
74,0.2158203125,0.0986328125
75,0.1328125,0.0361328125
76,0.1025390625,-0.1865234375
77,0.169921875,0.3271484375
78,0.142578125,0.0693359375
79,0.1708984375,-0.02734375
80,0.185546875,0.0966796875
81,0.2412109375,-0.23046875
82,0.0634765625,0.123046875
83,0.1015625,0.140625
84,0.197265625,0.04296875
85,0.2236328125,0.267578125
86,0.1513671875,-0.2451171875
87,0.109375,0.1923828125
88,0.140625,0.2109375
89,0.177734375,0.2353515625
90,0.0859375,0.0810546875
91,0.130859375,0.1865234375
92,0.15625,0.0595703125
93,0.068359375,0.0185546875
94,0.0791015625,0.0986328125
95,0.1103515625,0.021484375
96,0.1787109375,-0.0830078125
97,0.150390625,0.2451171875
98,0.0244140625,0.193359375
99,0.029296875,0.16015625
100,-0.033203125,0.0302734375
101,0.0654296875,0.0478515625
102,0.005859375,0.005859375
103,0.232421875,0.3193359375
104,0.0302734375,0.048828125
105,0.091796875,-0.0927734375
106,0.0634765625,0.01171875
107,0.0244140625,0.0546875
108,0.1552734375,0.0732421875
109,0.205078125,0.095703125
110,0.0986328125,0.0849609375
111,-0.0400390625,-0.0205078125
112,0.138671875,0.255859375
113,0.326171875,0.1220703125
114,0.22265625,0.10546875
115,0.0615234375,0.0419921875
116,0.076171875,0.0146484375
117,0.2666015625,0.1171875
118,0.1865234375,0.1474609375
119,0.0556640625,0.1875
120,0.171875,-0.0849609375
121,0.044921875,0.1796875
122,0.068359375,0.1259765625
123,0.0380859375,0.0068359375
124,0.076171875,0.033203125
125,0.091796875,0.0966796875
126,0.111328125,-0.017578125
127,0.1884765625,0.0390625
128,0.09375,0.07421875
129,-0.015625,0.064453125
130,0.251953125,0.1533203125
131,0.130859375,0.1552734375
132,0.0517578125,0.0205078125
133,0.1845703125,0.08203125
134,0.0693359375,-0.083984375
135,0.1396484375,0.1279296875
136,0.1494140625,0.2109375
137,-0.029296875,0.1591796875
138,0.0341796875,0.0673828125
139,0.1171875,0.0908203125
140,0.1357421875,0.1103515625
141,0.115234375,0.1298828125
142,0.078125,-0.12109375
143,0.1787109375,0.0185546875
144,0.177734375,0.0029296875
145,0.2978515625,-0.19140625
146,0.189453125,0.1572265625
147,0.0205078125,0.171875
148,0.0322265625,0.0234375
149,-0.03125,0.0078125
150,0.2548828125,0.13671875
151,0.150390625,0.13671875
152,-0.0625,-0.0205078125
153,0.0048828125,-0.025390625
154,0.1640625,0.1484375
155,0.119140625,0.13671875
156,0.1162109375,-0.0263671875
157,-0.0009765625,0.0068359375
158,0.1005859375,0.025390625
159,0.1396484375,0.0537109375
160,0.08984375,0.1513671875
161,0.162109375,-0.00390625
162,0.1162109375,0.091796875
163,-0.1201171875,-0.1396484375
164,0.1337890625,0.12109375
165,0.1357421875,0.02734375
166,-0.078125,0.0341796875
167,0.0224609375,0.013671875
168,0.099609375,-0.0029296875
169,0.3154296875,-0.001953125
170,0.1171875,0.11328125
